CMDLINE c:\users\zengg\appdata\local\programs\python\python37-32\python.exe main.py
MEM 0.707031 1591676550.0193
MEM 12.785156 1591676550.1197
MEM 17.503906 1591676550.2204
MEM 21.468750 1591676550.3212
MEM 25.218750 1591676550.4219
MEM 28.320312 1591676550.5226
MEM 32.398438 1591676550.6234
MEM 37.542969 1591676550.7243
MEM 37.878906 1591676550.8296
MEM 38.367188 1591676550.9304
MEM 39.027344 1591676551.0311
MEM 39.125000 1591676551.1318
MEM 42.843750 1591676551.2326
MEM 40.539062 1591676551.3333
MEM 41.167969 1591676551.4340
MEM 44.722656 1591676551.5348
MEM 45.003906 1591676551.6355
MEM 40.640625 1591676551.7363
MEM 40.640625 1591676551.8370
MEM 41.136719 1591676551.9378
MEM 41.761719 1591676552.0385
MEM 43.511719 1591676552.1392
MEM 48.660156 1591676552.2400
MEM 42.578125 1591676552.3404
MEM 42.578125 1591676552.4411
MEM 42.656250 1591676552.5419
MEM 43.882812 1591676552.6426
MEM 48.390625 1591676552.7433
MEM 53.093750 1591676552.8435
MEM 54.667969 1591676552.9443
MEM 54.773438 1591676553.0450
MEM 43.921875 1591676553.1457
MEM 43.921875 1591676553.2465
MEM 43.921875 1591676553.3472
MEM 43.992188 1591676553.4479
MEM 44.000000 1591676553.5487
MEM 45.597656 1591676553.6494
MEM 50.171875 1591676553.7501
MEM 55.945312 1591676553.8502
MEM 56.746094 1591676553.9509
MEM 56.761719 1591676554.0516
MEM 56.777344 1591676554.1523
MEM 56.914062 1591676554.2531
MEM 57.195312 1591676554.3538
MEM 57.574219 1591676554.4545
MEM 57.867188 1591676554.5552
MEM 58.210938 1591676554.6560
MEM 58.621094 1591676554.7567
MEM 58.773438 1591676554.8576
MEM 58.968750 1591676554.9584
MEM 59.160156 1591676555.0591
MEM 59.179688 1591676555.1598
MEM 59.207031 1591676555.2605
MEM 59.511719 1591676555.3613
MEM 59.781250 1591676555.4620
MEM 60.109375 1591676555.5627
MEM 60.425781 1591676555.6635
MEM 60.664062 1591676555.7642
MEM 60.898438 1591676555.8651
MEM 61.125000 1591676555.9658
MEM 61.312500 1591676556.0665
MEM 61.468750 1591676556.1673
MEM 61.789062 1591676556.2680
MEM 61.976562 1591676556.3687
MEM 62.046875 1591676556.4695
MEM 62.238281 1591676556.5702
MEM 62.421875 1591676556.6709
MEM 62.609375 1591676556.7716
MEM 62.656250 1591676556.8724
MEM 62.656250 1591676556.9732
MEM 62.796875 1591676557.0739
MEM 45.050781 1591676557.1747
MEM 45.050781 1591676557.2754
MEM 45.050781 1591676557.3761
MEM 44.753906 1591676557.4769
MEM 45.722656 1591676557.5776
MEM 46.621094 1591676557.6783
MEM 46.996094 1591676557.7791
MEM 47.785156 1591676557.8799
MEM 48.250000 1591676557.9806
MEM 49.433594 1591676558.0813
MEM 50.363281 1591676558.1821
MEM 50.988281 1591676558.2828
MEM 52.917969 1591676558.3835
MEM 52.382812 1591676558.4843
MEM 55.121094 1591676558.5850
MEM 61.718750 1591676558.6857
MEM 51.121094 1591676558.7858
MEM 50.371094 1591676558.8868
MEM 50.429688 1591676558.9875
MEM 50.429688 1591676559.0882
MEM 50.429688 1591676559.1890
MEM 51.054688 1591676559.2897
MEM 51.054688 1591676559.3904
MEM 51.117188 1591676559.4912
MEM 52.546875 1591676559.5919
MEM 53.320312 1591676559.6926
MEM 54.203125 1591676559.7933
MEM 55.039062 1591676559.8942
MEM 56.535156 1591676559.9950
MEM 57.457031 1591676560.0957
MEM 62.390625 1591676560.1964
MEM 67.824219 1591676560.2972
MEM 69.363281 1591676560.3979
MEM 69.406250 1591676560.4986
MEM 69.406250 1591676560.5993
MEM 69.406250 1591676560.7001
MEM 69.406250 1591676560.8008
MEM 69.410156 1591676560.9015
MEM 69.437500 1591676561.0023
MEM 69.445312 1591676561.1030
MEM 69.550781 1591676561.2037
MEM 69.898438 1591676561.3045
MEM 55.828125 1591676561.4053
MEM 55.828125 1591676561.5060
MEM 55.828125 1591676561.6068
MEM 55.828125 1591676561.7075
MEM 55.828125 1591676561.8082
MEM 53.878906 1591676561.9089
MEM 54.082031 1591676562.0097
MEM 54.277344 1591676562.1104
MEM 55.105469 1591676562.2111
MEM 56.089844 1591676562.3119
MEM 58.152344 1591676562.4126
MEM 59.062500 1591676562.5133
